folioviv,foliohog,clave,gasto,pago_mp,gasto_tri
1800749404,1,TB08,2980,2980,2915.21
1800749406,1,TB12,18000,18000,8804.34
1800749406,1,TB08,2900,2900,2836.95
1800753001,1,TB10,800,800,782.6
1800753001,1,TB08,3396,1231,3322.17
1800753001,1,TB13,2500,0,1222.82
1800753001,1,TB11,10000,0,4891.3
1800753001,1,TB06,1000, ,2903.22
1800753001,1,TB05,2800, ,8129.03
1800753001,1,TB02,146, ,423.87
1800753001,1,TB01,4600, ,13354.83
1800753001,1,TR09,200,0,195.65
1800753004,1,TB13,930,0,454.89
1800753004,1,TB02,131, ,380.32
1800753004,1,TB01,3600, ,10451.61
1800753004,1,TB03,757, ,2197.74
1800753004,1,TB07,420, ,1219.35
1800753004,1,TB08,5200,5200,5086.95
1800753004,1,TB10,5730,170,5605.43
1800753004,1,TB11,7100,0,3472.82
1800753005,1,TB08,1150,1150,1124.99
1800753006,1,TB08,300,0,293.47
1800769506,1,TB13,700,0,342.39
1800785302,1,TB09,3900,0,3815.21
1800785303,1,TB11,2500,0,1222.82
1800786906,1,TB11,900,900,440.21
1800819203,1,TB05,1400, ,4064.51
1800819203,1,TB02,341, ,989.99
1800819203,1,TB03,360, ,1045.16
1800819203,1,TB10,1000,1000,978.26
1800819203,1,TB04,228, ,661.93
1800819204,1,TB08,6600,2300,6456.52
1800819206,1,TB11,580,580,288.39
1800819206,1,TB08,2895,0,2832.06
1800856401,1,TB11,3900,3900,1907.6
1800895001,1,TB11,6600,0,3228.26
1800895001,1,TB08,1480,595,1447.82
1800895002,1,TB13,800,0,391.3
1800895002,1,TB08,970,770,948.91
1800895002,1,TB03,300, ,870.96
1800895002,1,TB04,1335, ,3875.8
1800927605,1,TB11,1100,0,540.98
1800928703,1,TB11,2000,200,983.6
1800930202,1,TB11,2300,2300,1143.64
1800939304,1,TB08,1450,0,1418.47
1800939304,1,TB11,2700,0,1320.65
1800976801,1,TB10,225,225,220.1
1800976801,1,TB08,659,0,644.67
1801011405,1,TB08,600,0,586.95
1801020923,1,TB08,2238,0,2189.34
1801020923,1,TB11,6000,0,2934.78
1801025408,1,TB08,300,0,293.47
1801025410,1,TB11,790,0,386.41
1801025620,1,TB08,2160,690,2113.04
1801025624,1,TB13,47000,0,23114.75
1801025624,1,TB08,3120,2520,3052.17
