folioviv,foliohog,numren,id_trabajo,tipoact,cose_cria,prep_deriv,otro_pago,fpago_1,fpago_2,fpago_3,fpago_4,fpago_5,fpago_6,fpago_7,fpago_8,nofpago,t_emp,h_emp,m_emp,t_cpago,h_cpago,m_cpago,t_ispago,h_ispago,m_ispago,t_nispago,h_nispago,m_nispago,valrema,valproc,apoyo,apoyo_1,apoyo_2,apoyo_3,apoyo_4,apoyo_5,apoyo_6,apoyo_7,apoyo_8,procampo,mesproc,progan,mesprogan,reg_not,reg_cont,ventas,autocons,otrosnom,gasneg,ventas_tri,auto_tri,otros_tri,gasto_tri,ing_tri,ero_tri
160116811,1,1,2,5,1,2,2, , , , , , , , ,5,2,2,0,0, , ,2,2,0,0, , ,25000,3600,2, , , , , , , , , , , , ,2,4,16800,1800,0,27590,4131.14,442.62,0,6784.42,0,2210.16
160116812,1,1,2,5,1,1,2, , , , , , , , ,5,1,0,1,0, , ,1,0,1,0, , ,53000,5000,2, , , , , , , , , , , , ,2,4,15800,1460,0,16600,3885.24,359.01,0,4081.96,162.29,0
160116813,1,1,2,5,1,1,2, , , , , , , , ,5,1,1,0,0, , ,1,1,0,0, , ,23600,3600,2, , , , , , , , , , , , ,2,4,16800,1800,0,27590,4131.14,442.62,0,6784.42,0,2210.16
160116907,1,1,1,5,1,1,2, , , , , , , , ,6,0, , , , , , , , , , , ,60000,18000,2, , , , , , , , ,6000,6, , ,2,4,12775,18250,0,0,3124.32,4463.31,0,0,7586.41,0
160121004,1,1,1,5,1,1,2, , , , , , , , ,6,0, , , , , , , , , , , , ,24000,2, , , , , , , , , , , , ,2,4,15960,0,0,30080,3903.26,0,0,7356.52,0,3451.3
160121218,1,1,1,4,1, ,2, , , , , , , , ,6,0, , , , , , , , , , , , ,5000,2, , , , , , , , , , , , ,2,4,0,0,0,3200,0,0,0,795.58,0,793.59
160121219,1,1,2,4,1, ,2, , , , , , , , ,6,1,0,1,0, , ,1,0,1,0, , ,8000,7000,2, , , , , , , , , , , , ,2,4,107100,0,0,57800,26627.07,0,0,14370.16,12255.91,0
160121221,1,1,1,4,1, ,2, , , , , , , , ,5,11,2,9,11,2,9,0, , ,0, , , ,20000,2, , , , , , , , ,2000,7, , ,2,4,30000,0,0,20960,7458.56,0,0,5211.04,2246.51,0
160121224,1,1,1,5,1,1,2, , , , , , , , ,6,0, , , , , , , , , , , ,45000, ,2, , , , , , , , , , , , ,2,4,111925,0,0,33100,27826.65,0,0,8229.28,19595.13,0
160121606,1,1,1,4,1, ,2, , , , , , , , ,6,4,4,0,0, , ,4,4,0,0, , , ,7000,2, , , , , , , , ,4000,8, , ,2,4,38650,6250,0,57900,9504.09,1536.88,0,14237.7,0,3195.73
160121711,1,2,1,5,1,1,2, , , , , , , , ,6,0, , , , , , , , , , , ,5600,240,2, , , , , , , , , , , , ,2,4,2000,460,0,936,491.8,113.11,0,230.16,374.75,0
160121714,1,1,1,4,1, ,2, , , , , , , , ,6,0, , , , , , , , , , , , ,10000,2, , , , , , , , ,5400,6, , ,2,4,0,0,0,9750,0,0,0,2397.54,0,2396.06
160121714,1,1,1,5,1,1,2, , , , , , , , ,6,0, , , , , , , , , , , ,120000,50000,2, , , , , , , , , , , , ,2,4,161400,0,0,154000,39688.52,0,0,37868.85,1817.7,0
160121716,1,1,1,4,1, ,2, , , , , , , , ,6,10,3,7,10,3,7,0, , ,0, , ,18000,25000,1, , , , , , ,70000, , , , , ,2,3,264750,0,0,430000,65102.45,0,0,105737.7,0,40632.78
160147310,1,1,2,4,1, ,2, , , , , , , , ,7,0, , , , , , , , , , , , ,3000,2, , , , , , , , , , , , ,2,4,0,900,0,1080,0,220.1,0,264.13,0,44.02
160147312,1,1,1,4,1, ,2, , , , , , , , ,1,0, , , , , , , , , , , , ,150,2, , , , , , , , , , , , ,2,4,40500,0,0,41480,9904.89,0,0,10144.56,0,237.71
160150009,1,1,1,5,1,1,2, , , , , , , , ,1,1,0,1,0, , ,1,0,1,0, , , ,7000,2, , , , , , , , , , , , ,2,4,27872,312,0,24550,6816.52,76.3,0,6004.07,886.3,0
160150401,1,1,1,4,1, ,2, , , , , , , , ,6,0, , , , , , , , , , , ,3000,4000,2, , , , , , , , , , , , ,2,4,0,6660,0,560,0,1628.8,0,136.95,1490.86,0
160152313,1,1,2,5,1,2,2, , , , , , , , ,4,1,1,0,1,1,0,0, , ,0, , ,42000, ,2, , , , , , , , , , , , ,2,4,84000,0,0,100475,20543.47,0,0,24572.69,0,4026.52
160152507,1,1,1,4,1, ,2, , , , , , , , ,6,0, , , , , , , , , , , , ,8500,2, , , , , , , , , , , , ,2,4,0,2200,0,4255,0,538.04,0,1040.62,0,501.84
160152507,1,1,1,5,1,2,1, , , , ,5, , , , ,0, , , , , , , , , , , , ,30000,2, , , , , , , , , , , , ,2,4,135000,0,0,118270,33016.3,0,0,28924.72,4091.08,0
160152917,1,1,2,4,1, ,2, , , , , , , , ,1,2,1,1,2,1,1,0, , ,0, , , ,5000,2, , , , , , , , , , , , ,2,4,5600,0,0,23080,1369.56,0,0,5644.56,0,4273.04
160162419,1,1,1,4,1, ,1, , , , ,5, , , , ,1,1,0,1,1,0,0, , ,0, , , , ,2, , , , , , , , , , , , ,2,4,0,80,0,26500,0,19.56,0,6480.97,0,6459.45
160162419,1,1,1,5,1,2,1, , , , ,5, , , , ,0, , , , , , , , , , , ,150000,30910,2, , , , , , , , , , , , ,2,4,0,0,0,27500,0,0,0,6725.54,0,6723.58
